Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
0,ABT,abbott_laboratories,17.43,1.71,0.18176972281449894,2.32,0.98,6740.0,1472.799999999999,1.19,0.4245,0.2471,13.154162040031023
1,ABBV,abbvie,34.92,1.83,0.0883395722366056,1.13,0.84,5724.0,599.2999999999996,1.42,0.2139,0.1643,13.362953740253438
2,ABMD,abiomed,32.24,1.02,0.09321269195432473,9.96,1.42,16790.0,-738.8000000000009,0.91,0.5686,0.1881,13.998169803070077
3,ACN,accenture,110.85,7.64,0.1683748169838946,0.11,0.51,221.2,221.20000000000005,6.89,0.1128,inf,22.183967564589977
4,AAP,advance_auto_parts,44.55,2.24,0.20916730328495034,0.56,1.17,777.0,707.6000000000006,1.71,0.5988,0.4384,17.394116730501054
5,AES,aes_corp,24.28,1.24,0.10569334836527622,2.71,0.32,703.02,432.1,0.35,0.1908,0.1985,11.767852020345737
6,AFL,aflac,31.56,1.22,0.023597004206422488,5.08,3.95,855.0,251.6000000000004,1.1,0.1004,0.0437,12.797240750375128
7,APD,air_products_&_chemicals,40.52,2.22,0.14971657219073026,0.99,0.92,1298.0,136.50000000000006,1.74,0.2426,0.1777,13.74603468835455
8,AKAM,akamai_technologies,32.23,2.99,0.09480465502909394,0.91,4.42,908.5,712.8000000000003,2.83,0.1561,0.1109,12.738775789717213
9,ARE,alexandria_real_estate_equities,123.69,1.31,0.0584971098265896,0.84,0.78,-51.56,297.39999999999986,0.84,0.0376,0.1211,16.179238674801976
10,ALLE,allegion,70.66,1.37,0.11044520547945204,0.61,1.26,507.26,434.3000000000001,1.26,0.2188,inf,13.521943889913505
11,LNT,alliant_energy,26.02,1.52,0.15855572998430142,2.59,1.21,443.2,164.9,1.08,0.5766,0.2446,12.817444591688442
12,ALL,allstate_corp,24.3,0.65,0.04508621214890635,1.96,1.03,-865.0,205.39999999999972,0.51,0.1056,0.0614,12.907053824543821
13,GOOG,alphabet (class_c),27.9,2.98,0.15687528065088172,0.42,21.61,42843.0,15541.499999999998,2.96,0.3022,0.2925,100.0
14,MO,altria_group,27.87,2.98,0.15687528065088172,0.42,21.61,42843.0,15541.499999999998,2.96,0.3022,0.2925,12.304407316677391
15,AMZN,amazon,32.02,0.74,0.2835128158327032,-32.28,2.75,8154.0,-1016.600000000004,0.6,1.398,0.3824,33.36240687099641
16,AMCR,amcor,65.23,1.12,0.11754530054925312,2.17,2.03,31020.0,11785.4,0.87,0.2431,0.1898,12.066745744388552
17,AEE,ameren_corp,20.02,1.31,0.10285758779101456,2.62,1.31,1019.0,-242.90000000000003,0.79,0.1977,0.12,13.028931627468033
18,AAL,american_airlines_group,23.3,0.94,0.04355108877721943,2.53,0.65,-1572.0,309.7999999999999,0.68,0.1041,0.0632,11.998882979799145
19,AEP,american_electric_power,0.0,1.01,-0.22934043442857455,-10.2,4.03,-8150.0,-1299.9,0.92,0.4332,-0.1013,12.547634273923642
20,AXP,american_express,18.57,0.58,0.042184919032626965,2.83,1.47,-2413.4,686.6,0.48,0.1107,0.0634,15.695471794493743
21,AME,ametek,17.98,0.94,0.14731835534138554,97.11,3.7,2242.81,-465.10000000000036,0.57,16.3395,0.4059,13.422650034967502
22,AMGN,amgen,36.85,1.26,0.11076392630104516,0.78,1.29,1206.78,676.8000000000002,0.81,0.14880000000000002,0.1465,9.607336812644135
23,APH,amphenol,23.17,1.64,0.17816551320791502,6.91,0.39,9889.0,-5819.8,1.36,0.6373,0.1825,13.512215688477639
24,ADI,analog_devices,36.83,2.4,0.16342412451361868,1.48,0.99,1327.9,156.99999999999994,1.72,0.2608,0.1992,14.256343302090011
25,ANSS,ansys,47.63,1.94,0.034145947691314175,0.38,1.01,2427.11,646.5000000000002,1.51,0.0747,0.0727,14.323391762110324
26,APA,apa_corporation,29.71,1.77,0.19349164467897975,0.74,1.61,505.3,236.8,1.41,0.2526,0.2999,12.734087589366167
27,AMAT,applied_materials,31.6,1.08,0.4830991348920943,4.56,7.32,92953.0,-24097.00000000001,1.02,1.4412,0.6357,15.129020629360996
28,APTV,aptiv,24.55,2.54,0.3536266105436066,1.11,0.74,4774.0,3430.4999999999986,1.86,0.493,0.3961,14.023322733984683
29,ADM,adm,56.3,2.11,0.15716829919857525,1.08,1.48,839.0,591.2,1.56,0.0952,0.1114,12.826653905791657
30,ANET,arista_networks,14.6,1.58,0.055997716967371665,1.38,1.7,-3209.0,607.7999999999997,0.98,0.1238,0.0932,16.025557693949537
31,AJG,arthur_j._gallagher_&_co.,58.32,5.06,0.17632241813602015,0.41,0.47,719.73,411.5,4.42,0.2188,inf,15.876833846442462
32,ATO,atmos_energy,205.0,0.7,0.013853950592983694,2.02,5.77,27455.0,1288.1999999999964,0.66,0.0052,0.0216,12.377588893979704
33,ADSK,autodesk,20.3,0.81,0.05621816374704932,1.48,0.87,-3053.79,328.5,0.76,0.0867,0.06559999999999999,12.3460925805949
34,AVB,avalonbay_communities,20.39,0.79,0.4121186677861741,-7.81,0.37,2926.76,220.2000000000001,0.2,-1.2666,0.9229,18.454165731199275
35,BKR,baker_hughes,24.25,1.07,0.19456469456469452,3.43,1.73,541.9,213.40000000000026,0.73,0.4566,0.2764,12.17965019687198
36,BAC,bank_of_america,39.62,0.97,0.07263904982618771,4.35,1.74,319.0,372.19999999999976,0.7,0.2251,0.1102,12.98792779176475
37,BAX,baxter_international,12.31,2.08,0.180674671240709,-4.6,0.73,1811.0,-400.0,1.28,-1.5755,0.6502,12.097299770365574
38,BDX,becton_dickinson,35.92,2.37,0.09684765671820687,1.25,0.94,1159.0,549.0999999999997,1.79,0.1405,0.1212,11.84773446299863
40,BIO,bio-rad_laboratories,9.84,1.13,0.2797800140416569,3.7,1.07,4214.0,-44.40000000000021,0.42,0.6093,0.5861999999999999,28.362235361197115
41,TECH,bio-techne,3.43,3.8,0.033303622072765576,0.3,0.53,476.48,1851.9000000000005,2.89,0.5617,0.047,24.53477047470608
42,BIIB,biogen,119.48,4.06,0.11232227488151658,0.38,0.74,307.86,75.19999999999997,3.18,0.1124,0.1374,11.738464968453183
43,BLK,blackrock,23.48,1.7,0.2179431910715141,1.19,0.38,3805.0,-154.70000000000016,1.38,0.1423,0.1073,30.467725144704094
44,BKNG,booking_holdings,0.0,1.36,-0.1961884790921426,-11.29,0.17,-19417.0,-318.20000000000215,0.41,0.5086999999999999,-0.1625,21.234892576474216
45,BXP,boston_properties,14.0,1.78,0.050576970292167935,1.35,1.68,723.0,557.3,1.32,0.1117,0.1091,13.959022555105468
46,BMY,bristol_myers_squibb,58.19,1.55,-0.002915667097250415,0.94,0.56,1144.0,1854.3000000000006,1.15,0.0693,0.043,11.860076434709024
47,AVGO,broadcom,0.0,1.47,-0.06912405307793684,1.97,1.06,13299.0,-2115.000000000003,1.36,-0.1444,-0.0519,22.623494482130795
48,CHRW,c._h._robinson,45.82,5.15,0.20806566738044252,1.26,0.23,755.0,-147.6000000000001,2.86,0.2859,0.2109,12.248450034748206
49,CZR,caesars_entertainment,75.14,1.7,0.20481927710843373,0.6,0.75,810.11,584.7000000000003,1.59,0.2722,0.2655,13.479508760118463
50,CPB,campbell_soup,0.0,1.19,-0.012928994082840236,6.87,26.0,-379.0,-286.10000000000014,1.18,-0.2305,0.0383,11.496033838064967
51,COF,capital_one,13.88,0.8,0.15574596774193547,2.68,1.55,760.0,368.0,0.39,0.31,0.1832,15.671478021491653
52,KMX,carmax,13.3,1.12,0.02804682393487433,29.8,2.88,2029.0,-1099.9000000000003,0.57,0.6524,0.1943,13.872837243544712
53,CCL,carnival_corporation,23.17,2.9,0.05256261653983773,4.01,1.75,505.07,245.09999999999994,0.63,0.2516,0.07690000000000001,11.766154426798646
54,CARR,carrier_global,0.0,0.94,-0.19740797648473515,2.6,3.54,-9587.0,-817.5000000000008,0.91,-0.4981,-0.1567,13.52407598018126
55,CAT,caterpillar,40.39,3.59,0.10459828196058617,1.33,1.13,-253.0,229.90000000000003,3.02,0.1316,0.1177,11.532312406355878
56,CBOE,cboe_global_markets,22.11,1.61,0.09774364628281408,3.84,0.63,4984.0,2371.599999999999,1.09,0.3141,0.1552,15.003087806148105
57,CE,celanese,28.76,1.38,0.21648916636063165,9.77,5.19,1156.3,-46.49999999999985,1.16,0.9299,0.2813,14.2421558550305
58,CNC,centene,6.82,2.4,0.07430617726051925,1.71,1.34,979.0,902.0999999999997,1.76,0.6948000000000001,0.2215,13.024242187636132
59,CDAY,ceridian,18.36,1.71,0.03627033442714515,3.19,0.48,-601.0,-26.50000000000001,1.58,0.1036,0.0573,14.008929996835647
60,CF,cf_industries,53.99,1.57,0.14402644419959074,0.96,9.89,857.45,576.0000000000002,1.56,0.12560000000000002,0.1174,13.481752409387965
61,CRL,charles_river_laboratories,51.29,1.79,0.05604029864171989,1.1,2.21,924.0,-136.10000000000014,1.38,0.0524,0.0808,23.162965189140554
62,SCHW,charles_schwab,48.68,1.4,0.09309825843904536,1.9,3.08,380.02,91.10000000000002,1.22,0.1748,0.1163,13.819905130756213
63,CMG,chipotle_mexican_grill,22.65,1.28,-0.03104679536963425,0.76,4.23,1655.0,-2449.9000000000124,1.03,0.0739,0.0787,49.930197430702314
64,CB,chubb,70.15,1.79,0.05619066072466576,1.87,52.48,290.5,263.4000000000002,1.75,0.3301,inf,14.817368220431687
65,CI,cigna,31.44,0.74,0.1709259873879854,1.1,1.33,898.4,447.8000000000001,0.39,0.2497,0.2247,10.468757546949863
66,CSCO,cisco_systems,55.74,1.22,0.2197366333491988,1.25,2.14,1248.98,687.0999999999996,1.01,0.3211,0.2776,13.101306380024488
67,C,citigroup,23.56,1.62,0.18013756316676025,1.25,2.65,14790.0,-4698.000000000001,1.54,0.2792,0.2735,12.04357151011431
68,CLX,clorox,37.69,0.66,0.22242512783053325,15.35,6.01,894.37,309.6999999999998,0.65,1.2019,0.1213,9.889659383315507
69,CME,cme_group,50.39,0.69,0.21669004207573636,10.47,1.45,945.0,-203.80000000000004,0.39,0.5056,0.2111,14.092468979564824
70,KO,coca-cola,21.61,0.76,0.05121841155234657,3.59,0.95,-1041.0,216.6,0.53,0.1369,0.07519999999999999,12.660907703826402
71,CTSH,cognizant_technology_solutions,29.02,1.52,0.12376367012861958,2.75,1.25,8856.0,753.1000000000035,1.32,0.3832,0.1745,12.291805941376278
72,CMCSA,comcast,27.27,1.09,0.3373567210837096,14.46,1.07,3309.0,952.3999999999994,0.7,2.9181,0.4605,12.067121136765364
73,COP,conocophillips,13.77,0.96,0.09693472391338874,1.61,1.01,964.2,475.79999999999984,0.33,0.1415,0.0996,14.219602484730034
74,ED,consolidated_edison,21.48,1.93,-0.03762313980297632,0.98,4.07,1404.0,1768.1000000000015,1.83,0.116,0.1448,12.859811764727313
75,STZ,constellation_brands,25.47,0.97,0.047784519544120566,2.09,1.67,-2021.0,410.2999999999996,0.89,0.0592,0.0646,11.971657861609966
76,COO,the_cooper_companies,66.57,1.35,0.1080275584455798,1.2,0.85,1960.8,2015.3999999999994,0.73,0.05860000000000001,0.0932,15.488750582626999
77,CPRT,copart,7.07,2.0,0.05702050935316656,0.38,0.44,524.2,822.2,1.2,0.4552000000000001,0.0649,15.382789305413059
78,GLW,corning,36.62,4.15,0.2743298720115914,0.3,8.82,525.43,502.20000000000016,4.05,0.2948,0.3222,11.867402671106365
79,CTVA,corteva,38.78,1.77,0.01884626777251185,1.4,0.93,840.0,-104.2000000000018,1.2,0.0617,0.1039,12.109244335316948
80,CTRA,coterra,48.81,1.02,0.22489690548831595,2.38,2.59,5370.0,1634.7999999999995,0.51,0.2944,0.2829,12.263933350450614
81,CCI,crown_castle,21.35,0.95,0.07135945815191097,1.03,13.31,203.22,315.10000000000014,0.92,0.153,0.1509,14.576482141569508
82,CMI,cummins,23.65,1.72,0.11547625350770373,2.05,3.03,2693.0,-13.200000000000232,1.59,0.2729,0.1847,10.226023822931433
83,CVS,cvs_health,14.33,1.8,0.13929645773221191,1.56,1.05,2194.0,1170.9999999999995,1.17,0.2499,0.226,13.90504911237403
84,DHI,d._r._horton,18.03,0.94,0.08246096574944575,2.15,2.59,13428.0,2286.599999999999,0.67,0.1049,0.103,13.745283202278044
85,DHR,danaher,9.49,6.42,0.2569808027923211,0.58,0.35,304.6,2093.600000000001,1.55,0.3017,0.2869,20.331110176661255
86,DRI,darden_restaurants,41.7,1.49,0.0615337628528629,0.9,1.05,5419.0,1426.9999999999975,1.11,0.1375,0.1098,13.88220107768575
87,DVA,davita,27.34,0.85,0.07368301544050862,3.09,8.53,928.6,-59.00000000000008,0.72,0.3452,0.2762,11.863120948911131
88,DE,deere_&_co.,13.24,1.63,0.11679184179700958,12.28,17.6,1354.63,-791.6000000000003,1.58,0.6666,0.17850000000000002,14.232021241277288
89,DAL,delta_air_lines,18.06,2.15,0.15282173464670532,3.56,1.15,8972.0,2638.899999999999,1.91,0.3765,0.1562,11.544621733632933
90,XRAY,dentsply_sirona,0.0,0.84,-0.2223867020991992,26.93,16.28,-5692.0,-1246.4000000000005,0.82,-0.0461,0.0274,11.655215028078574
91,DVN,devon_energy,29.36,1.6,-0.0014953271028037382,0.81,0.9,549.0,-634.2000000000003,1.13,0.0832,0.08650000000000001,13.9084348902914
92,FANG,diamondback_energy,102.67,4.98,0.08158825129181398,1.24,0.58,276.6,81.39999999999995,4.5,0.2691,0.1009,15.46690156950525
93,DLR,digital_realty_trust,56.17,0.73,-0.3342489165598486,0.82,5.28,322.0,-576.3000000000002,0.71,0.0385,0.1063,14.436575474209718
94,DG,dollar_general,7.78,1.15,0.08032715511879587,1.76,6.26,2898.47,1665.3000000000006,1.08,0.1826,0.1207,14.153940291009803
95,DLTR,dollar_tree,23.1,1.08,0.17640928940055578,3.19,1.11,2851.25,244.49999999999997,0.15,0.3875,0.3156,12.923103321072857
96,D,dominion_energy,23.74,1.25,0.1112879457707044,1.95,1.08,1826.6,362.5,0.25,0.1902,0.183,12.334182343251793
97,DPZ,domino's_pizza,24.78,0.7,0.02415884883966989,2.67,0.5,-793.0,-569.0000000000006,0.58,0.0977,0.0481,25.97014911673947
98,DOV,dover_corporation,42.91,1.72,0.6618049225159526,-1.43,9.49,504.2,-351.6,1.61,-0.13699999999999998,0.9245,16.226800045496198
99,DOW,dow,27.98,1.65,0.12584299973024007,1.55,1.2,946.33,111.49999999999987,1.12,0.2605,0.1857,11.860539164685205
100,DUK,duke_energy,26.45,1.02,0.046396449012965774,3.6,2.45,-147.0,502.7999999999996,0.75,0.0755,0.05980000000000001,13.197245604376793
101,DRE,duke_realty,27.04,0.61,0.031167213159642118,2.26,0.66,-1051.0,126.90000000000003,0.42,0.06,0.0412,13.673714409979649
102,DXC,dxc_technology,7.45,2.01,-0.03505777509251567,0.69,0.98,3934.0,-12145.900000000007,1.34,0.2135,0.0502,12.452423761260647
103,ETN,eaton,32.5,1.57,0.052758988964044136,1.62,1.26,1072.0,588.0999999999998,1.04,0.08289999999999999,0.0696,15.904067490714127
104,EBAY,ebay,33.56,1.27,0.0703079828855568,1.13,1.19,2555.0,-202.10000000000028,0.79,0.1346,0.102,13.340248655206683
105,EIX,edison_international,60.0,1.72,0.09187837304199026,1.58,1.46,1376.5,451.79999999999944,1.25,0.1724,0.1246,12.490852144681753
106,EW,edwards_lifesciences,33.96,0.67,0.020593958879769864,3.36,5.07,-4221.0,-358.39999999999986,0.63,0.0453,0.0431,15.277868722657653
107,EA,electronic_arts,55.13,3.64,0.14157338798675706,0.47,0.42,647.3,309.80000000000007,2.87,0.297,0.2992,11.571877310704327
108,ENPH,enphase_energy,24.34,1.35,0.1832259461800856,1.49,1.44,2994.0,998.7,1.02,0.2464,0.2229,14.357265474194907
109,ETR,entergy,159.08,4.49,0.2792792792792793,2.44,3.23,195.78,51.10000000000001,4.33,0.2711,0.1801,13.189474946824346
110,EOG,eog_resources,18.2,0.64,0.03456495828367104,4.21,0.91,-2251.33,468.20000000000016,0.46,0.1129,0.0482,14.245126841968972
111,ETSY,etsy,44.87,1.78,0.157020332273736,2.53,0.4,2994.0,867.8000000000003,1.29,0.5235,0.2564,14.752454667420842
112,ES,eversource_energy,17.96,0.68,0.046203554119547664,2.03,0.79,193.5,162.70000000000005,0.47,0.098,0.07519999999999999,12.246272235403682
113,RE,everest_re,26.45,0.72,0.048294281898749535,2.33,4.05,-1260.42,349.19999999999993,0.67,0.0832,0.0658,14.853354683447684
114,EXPE,expedia_group,33.78,0.94,0.024222195527946046,2.87,1.67,-3767.0,1159.5999999999995,0.83,0.0485,0.0337,12.91689037893396
115,FFIV,f5,0.0,0.9,-0.10031224333995448,1.01,2.87,-2614.0,-4097.500000000017,0.58,-0.0357,-0.0337,14.13687298891112
116,FDS,factset,45.57,1.16,0.10926234054353856,1.12,5.83,614.55,257.49999999999994,1.14,0.1482,0.1517,24.426307323999367
117,FRT,federal_realty_investment_trust,41.33,4.18,0.34069212410501193,0.42,0.6,944.3,202.3,2.07,0.3136,0.369,15.010014070948463
118,FIS,fidelity_national_information_services,18.12,1.49,0.08474036778216648,2.38,12.43,4353.0,1836.1000000000006,1.45,0.2061,0.1289,9.695518598664723
119,FRC,first_republic_bank,20.49,0.62,0.05478966041561074,4.86,4.11,-1232.0,558.3000000000005,0.56,0.1489,0.0635,16.770410859004432
120,F,ford,24.1,1.38,0.12260432241402745,2.41,0.47,611.7,223.6999999999997,0.96,0.1947,0.15869999999999998,12.625386338109138
121,FTNT,fortinet,29.67,1.2,-0.025918891743939226,5.88,2.23,18527.0,363.1999999999997,1.05,0.0842,0.0098,28.09443192609625
122,FTV,fortive,108.25,1.8,0.2401805869074492,4.26,1.19,957.8,-29.899999999999984,1.72,0.5518,0.3948,12.590369650064131
123,FBHS,fortune_brands_home_&_security,16.8,0.85,0.04086119323781366,0.61,1.1,1366.3,1306.7,0.67,0.1759,0.0727,12.995972612176457
124,FOXA,fox_corporation (class_a),19.72,1.78,0.13318922514133688,1.58,1.14,676.8,331.9000000000001,1.05,0.258,0.1907,12.423247964995959
125,GPS,gap,15.87,2.5,0.06292767319957653,1.08,0.86,1056.0,1216.0000000000016,1.75,0.1913,0.2635,11.581570019477196
126,GRMN,garmin,13.47,1.36,-0.08720283257460801,3.59,0.84,-155.0,-32.0,0.65,0.1803,0.1933,14.34468312335047
127,IT,gartner,23.28,2.92,0.17964888358615988,0.29,0.45,951.84,420.5,2.11,0.1994,inf,26.558936093226514
128,GD,general_dynamics,42.71,1.89,0.184656900539707,1.3,0.65,424.58,242.7,0.97,0.335,0.295,15.808552512318208
129,GE,general_electric,17.89,1.49,0.1169363965595292,2.27,1.41,2891.0,2309.9,1.1,0.2132,0.16269999999999998,12.337056713659752
130,GIS,general_mills,0.0,1.8,0.009681733896707907,5.09,0.8,1989.0,-12408.3,1.51,-0.0113,0.0534,12.579378122798449
131,GM,general_motors,25.33,0.85,0.13339837122497455,2.31,1.89,2455.1,938.4,0.62,0.2309,0.1517,12.300978162655294
132,GPC,genuine_parts,7.84,1.08,0.042721722778908316,2.96,1.58,9536.0,2082.099999999999,0.88,0.1969,0.081,14.389763059104538
133,GILD,gilead_sciences,24.9,1.19,0.054996024383779485,3.37,0.83,1879.08,47.80000000000015,0.62,0.2505,0.1853,12.611095121025704
134,GL,globe_life,12.39,1.37,0.07140852482020699,2.13,0.73,7518.0,-717.0000000000001,1.2,0.3774,0.2428,11.524433052344074
135,HAL,halliburton,29.58,2.58,0.20992995467655545,2.02,1.19,926.0,433.0,1.43,0.4403,0.3133,12.196143470484087
136,HIG,the_hartford,51.98,2.39,-0.14982471246694135,2.69,1.43,1439.0,-1157.9000000000005,1.79,0.0748,0.0799,13.58858212471001
137,HCA,hca_healthcare,31.22,1.52,0.05965537730243613,2.35,1.12,850.59,20.49999999999995,1.3,0.1523,0.1053,19.113536842655865
138,PEAK,healthpeak_properties,13.09,1.38,0.18862476151188573,26.16,1.22,6397.0,1967.1000000000006,1.17,2.9227,0.2912,12.45860921440504
139,HSY,the_hershey_company,17.58,1.7,0.09746766259792312,1.05,1.27,550.08,112.19999999999985,0.93,0.1558,0.1796,15.094066422028583
140,HES,hess_corporation,28.12,1.44,0.2462707182320442,2.72,1.27,1259.14,-1345.5000000000007,0.9,0.6154,0.3099,13.352768631252596
141,HLT,hilton_worldwide,6.16,0.91,0.03058467524046255,1.88,1.09,3723.0,80.60000000000069,0.69,0.1959,0.0388,14.511201370171628
142,HD,home_depot,10.63,2.39,0.3265736107453253,1.11,0.98,2174.2,628.3000000000002,2.01,0.4937,0.3821,21.16695496498922
143,HON,honeywell,27.74,1.13,0.38548982389539177,69.56,1.18,16376.0,5702.400000000002,0.37,7.8214,0.5981000000000001,12.839490896956299
144,HRL,hormel,26.8,1.29,0.12549296084954506,2.54,1.16,5359.0,3260.2,1.04,0.30260000000000004,0.188,11.799439766196778
145,HST,host_hotels_&_resorts,29.4,2.08,0.10372340425531916,0.82,2.1,771.73,423.1,1.12,0.13449999999999998,0.1255,12.09028147625888
146,HPQ,hp,48.97,2.33,0.06398855156904835,1.89,0.65,-144.0,414.3000000000001,1.16,0.0788,0.1033,12.39116635329523
147,HUM,humana,6.92,0.76,0.5572840025225982,-24.4,1.69,5827.0,-163.8,0.49,-2.1344,1.9363,15.488585974989805
148,IEX,idex_corporation,11.2,1.14,0.14011127971674253,3.75,14.04,740.0,574.2,1.09,0.3309,0.16899999999999998,14.721784357815865
149,IDXX,idexx_laboratories,41.83,3.38,0.12976338729763387,0.78,1.13,520.02,257.1,2.62,0.1638,0.1635,25.551512369398775
150,INFO,ihs_markit,75.42,1.48,0.4059579439252337,2.16,1.31,541.11,406.40000000000015,1.07,1.0666,0.6086,15.491272722919842
151,ILMN,illumina,28.7,2.2,0.22130077555094832,3.44,1.38,2581.0,941.1000000000008,1.69,0.8097,0.329,11.652364044641859
152,INCY,incyte,62.47,2.68,0.09146822267781107,0.42,0.84,891.0,828.6999999999998,2.24,0.1427,-0.0041,10.259489760128506
153,IR,ingersoll_rand,30.46,3.94,-0.0901331512461591,0.33,1.87,-311.98,45.70000000000004,3.91,0.1873,0.2213,12.9879671574476
154,INTC,intel,61.87,2.47,0.005906187761829545,0.71,0.94,867.4,127.70000000000006,1.94,0.046500000000000014,0.0462,11.217691260446422
155,ICE,intercontinental_exchange,10.0,2.07,0.18449862471461853,0.86,0.86,20931.0,4241.2,1.74,0.2511,0.173,13.757462919361082
156,IP,international_paper,25.27,0.84,0.05304818177120119,5.45,5.0,15767.0,2974.399999999992,0.78,0.22,0.0942,12.138790524528181
157,IPG,interpublic_group,10.3,2.11,0.07890244943244858,2.06,1.91,2320.0,873.2000000000003,1.67,0.2139,0.1223,13.052969091454514
158,INTU,intuit,122.48,1.99,0.04857535187092345,0.88,0.83,539.49,92.09999999999987,1.32,0.0139,0.0189,34.459837652369814
159,IVZ,invesco,77.55,5.58,0.10290082320658564,0.13,0.74,1143.3,575.2,5.01,0.1598,inf,12.164679277687371
160,IQV,iqvia,35.35,7.94,0.07313487688349872,0.15,0.44,198.53,277.30000000000007,6.45,0.0981,0.1289,18.670569836181052
161,JNJ,johnson_&_johnson,19.43,1.06,0.10337631363195944,0.96,1.22,1258.3,372.2,0.48,0.0933,0.1012,12.58560168496958
